epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.358,1.55811,2.45492,1.83921,0.09131,0.17819,0.06707,0.01813,2.66462,12.3378,3.58406,0.000472492,0.000472492,0.000472492
2,205.915,1.67678,2.16866,1.90731,0.42778,0.16015,0.06017,0.02034,2.3171,3.5083,3.14132,0.000930039,0.000930039,0.000930039
3,301.071,1.66791,2.1804,1.92517,0.38033,0.16396,0.02659,0.00807,2.79258,4.59444,3.48336,0.00136872,0.00136872,0.00136872
4,395.626,1.62117,2.10412,1.87338,0.42875,0.2056,0.09462,0.03792,2.02578,4.03427,2.71158,0.00134412,0.00134412,0.00134412
5,490.884,1.57346,2.01658,1.8278,0.55761,0.26494,0.18713,0.09188,1.77682,2.53243,2.44527,0.00131582,0.00131582,0.00131582
6,585.435,1.55187,1.94864,1.79448,0.56575,0.3324,0.26103,0.13672,1.55118,2.02112,2.15734,0.00128753,0.00128753,0.00128753
7,680.083,1.49868,1.87778,1.75373,0.3387,0.455,0.2821,0.14774,1.52823,1.87495,2.13028,0.00125923,0.00125923,0.00125923
8,775.013,1.44464,1.83805,1.72442,0.33497,0.42604,0.24937,0.13887,1.43751,1.97862,2.0478,0.00123094,0.00123094,0.00123094
9,869.368,1.45998,1.7932,1.7181,0.30656,0.44429,0.29844,0.15717,1.51385,1.97456,2.08973,0.00120265,0.00120265,0.00120265
10,964.21,1.4145,1.74815,1.69142,0.618,0.34376,0.33528,0.18241,1.40233,1.84678,1.96874,0.00117435,0.00117435,0.00117435
11,1060.38,1.38589,1.74746,1.67942,0.3139,0.44767,0.30847,0.17979,1.4492,1.77717,2.07525,0.00114606,0.00114606,0.00114606
12,1154.29,1.36265,1.70227,1.65275,0.26724,0.42979,0.35063,0.21038,1.28125,1.61129,1.83991,0.00111776,0.00111776,0.00111776
13,1248.34,1.35236,1.63402,1.64563,0.58156,0.48161,0.37069,0.2007,1.32802,1.69639,1.86928,0.00108947,0.00108947,0.00108947
14,1342.49,1.34416,1.6103,1.63575,0.34546,0.48468,0.38185,0.23147,1.31101,1.5834,1.89589,0.00106118,0.00106118,0.00106118
15,1437.22,1.33034,1.58423,1.6153,0.3704,0.40064,0.3619,0.21799,1.32538,1.68978,1.887,0.00103288,0.00103288,0.00103288
16,1531.67,1.30945,1.56947,1.60687,0.42847,0.44707,0.41898,0.26155,1.22427,1.50756,1.76364,0.00100459,0.00100459,0.00100459
17,1625.66,1.29544,1.5485,1.59882,0.41989,0.41867,0.39066,0.23484,1.33625,1.54537,1.89863,0.000976293,0.000976293,0.000976293
18,1719.8,1.30393,1.55484,1.59739,0.45947,0.55279,0.44819,0.2657,1.3099,1.5194,1.83215,0.000947999,0.000947999,0.000947999
19,1819.74,1.24991,1.5284,1.57055,0.52622,0.47142,0.46938,0.28967,1.21017,1.46194,1.77956,0.000919704,0.000919704,0.000919704
20,1913.83,1.2681,1.50075,1.57277,0.50356,0.522,0.46567,0.27047,1.24739,1.46644,1.77104,0.00089141,0.00089141,0.00089141
21,2008.22,1.25843,1.47681,1.57677,0.47149,0.51342,0.48842,0.29205,1.2219,1.39742,1.77519,0.000863116,0.000863116,0.000863116
22,2104.94,1.22905,1.46096,1.5507,0.46865,0.54281,0.5116,0.3172,1.19176,1.36632,1.72767,0.000834822,0.000834822,0.000834822
23,2199.44,1.247,1.41958,1.54991,0.44868,0.52741,0.51277,0.32105,1.1652,1.43309,1.72965,0.000806528,0.000806528,0.000806528
24,2294.86,1.2221,1.41274,1.54051,0.45367,0.54056,0.50655,0.31206,1.2066,1.40191,1.76956,0.000778233,0.000778233,0.000778233
25,2389.36,1.21749,1.3708,1.51667,0.568,0.50297,0.5121,0.32905,1.18525,1.38509,1.72399,0.000749939,0.000749939,0.000749939
26,2483.81,1.2016,1.37361,1.52417,0.55229,0.4887,0.542,0.34281,1.16358,1.31969,1.71245,0.000721645,0.000721645,0.000721645
